frame_index,stamp_sec
0,1782604144.1815705
1,1782604144.230586
2,1782604144.2639823
3,1782604144.2969353
4,1782604144.3298438
5,1782604144.372499
6,1782604144.4404278
7,1782604144.4754846
8,1782604144.530357
9,1782604144.5639493
10,1782604144.5968008
11,1782604144.630546
12,1782604144.6737714
13,1782604144.7410932
14,1782604144.776917
15,1782604144.8298655
16,1782604144.8634448
17,1782604144.8971405
18,1782604144.9295385
19,1782604144.963413
20,1782604145.009011
21,1782604145.036473
22,1782604145.0866249
23,1782604145.1162024
24,1782604145.1633685
25,1782604145.1973035
26,1782604145.231215
27,1782604145.2639751
28,1782604145.2964153
29,1782604145.3318305
30,1782604145.3722658
31,1782604145.3993673
32,1782604145.432566
33,1782604145.4666388
34,1782604145.5056753
35,1782604145.5393667
36,1782604145.5723815
37,1782604145.6313841
38,1782604145.6628075
39,1782604145.6976337
40,1782604145.7304575
41,1782604145.7634983
42,1782604145.7979362
43,1782604145.8445904
44,1782604145.9059243
45,1782604145.9515903
46,1782604145.9976356
47,1782604146.0304182
48,1782604146.0643253
49,1782604146.097802
50,1782604146.1310217
51,1782604146.178904
52,1782604146.2349992
53,1782604146.2912107
54,1782604146.3302658
55,1782604146.3637433
56,1782604146.4005125
57,1782604146.4298468
58,1782604146.463466
59,1782604146.4973195
60,1782604146.530773
61,1782604146.5665178
62,1782604146.6029243
63,1782604146.6306224
64,1782604146.6646538
65,1782604146.700529
66,1782604146.7332377
67,1782604146.7853866
68,1782604146.8357828
69,1782604146.8635128
70,1782604146.8977547
71,1782604146.9304955
72,1782604146.963756
73,1782604146.9962232
74,1782604147.029667
75,1782604147.063738
76,1782604147.0970101
77,1782604147.1317222
78,1782604147.1639104
79,1782604147.1990583
80,1782604147.2384474
81,1782604147.2751694
82,1782604147.3556952
83,1782604147.3973618
84,1782604147.4305742
85,1782604147.4636838
86,1782604147.497749
87,1782604147.5427108
88,1782604147.59847
89,1782604147.6332066
90,1782604147.672239
91,1782604147.7394495
92,1782604147.770555
93,1782604147.8053722
94,1782604147.8442779
95,1782604147.871883
96,1782604147.930414
97,1782604147.9645553
98,1782604147.9970524
99,1782604148.03038
100,1782604148.0629783
101,1782604148.097811
102,1782604148.130011
103,1782604148.1656885
104,1782604148.1998024
105,1782604148.2363632
106,1782604148.2639737
107,1782604148.3081365
108,1782604148.3730993
109,1782604148.4204702
110,1782604148.4737551
111,1782604148.5296986
112,1782604148.5629144
113,1782604148.5967138
114,1782604148.6324522
115,1782604148.6658185
116,1782604148.697214
117,1782604148.7293808
118,1782604148.763304
119,1782604148.79623
120,1782604148.8300953
121,1782604148.8649304
122,1782604148.8983238
123,1782604148.9379854
124,1782604149.008672
125,1782604149.0745206
126,1782604149.1184876
127,1782604149.1724088
128,1782604149.2305067
129,1782604149.2634075
130,1782604149.2969558
131,1782604149.330525
132,1782604149.362716
133,1782604149.3964918
134,1782604149.43014
135,1782604149.4635336
136,1782604149.497293
137,1782604149.529868
138,1782604149.5651872
139,1782604149.5964737
140,1782604149.6384706
141,1782604149.6699464
142,1782604149.7020497
