step,time_s,state_x_m,state_y_m,state_theta_rad,command_x_mps,command_y_mps,command_theta_radps,solve_time_ms
0,0.000000,3.173000000,2.627000000,-0.744000000,-0.350000000,-0.350000000,0.123000000,401.800000
1,0.200000,3.120000000,2.626000000,-0.742000000,-0.350000000,-0.350000000,0.129000000,12.000000
2,0.400000,3.091000000,2.532000000,-0.738000000,-0.350000000,-0.350000000,0.150000000,20.500000
3,0.600000,3.091000000,2.531000000,-0.738000000,-0.350000000,-0.350000000,0.155000000,21.800000
4,0.800000,3.093000000,2.529000000,-0.736000000,-0.350000000,-0.350000000,0.154000000,20.000000
5,1.000000,3.082000000,2.553000000,-0.728000000,-0.350000000,-0.350000000,0.122000000,20.700000
6,1.200000,3.050000000,2.546000000,-0.709000000,-0.350000000,-0.350000000,0.066000000,21.000000
7,1.400000,2.984000000,2.505000000,-0.709000000,-0.350000000,-0.350000000,0.046000000,21.500000
8,1.600000,2.898000000,2.440000000,-0.694000000,-0.350000000,-0.350000000,0.007000000,20.300000
9,1.800000,2.796000000,2.362000000,-0.662000000,-0.350000000,-0.350000000,-0.071000000,19.800000
10,2.000000,2.773000000,2.297000000,-0.662000000,-0.350000000,-0.350000000,-0.069000000,21.800000
11,2.200000,2.638000000,2.191000000,-0.642000000,-0.350000000,-0.350000000,-0.112000000,22.000000
12,2.400000,2.503000000,2.141000000,-0.663000000,-0.350000000,-0.350000000,-0.110000000,20.600000
13,2.600000,2.442000000,2.050000000,-0.671000000,-0.350000000,-0.350000000,-0.072000000,22.100000
14,2.800000,2.384000000,1.996000000,-0.684000000,-0.350000000,-0.350000000,-0.034000000,21.500000
15,3.000000,2.347000000,1.927000000,-0.687000000,-0.350000000,-0.350000000,0.003000000,21.800000
16,3.200000,2.159000000,1.790000000,-0.715000000,-0.350000000,-0.350000000,0.055000000,21.600000
17,3.400000,2.111000000,1.752000000,-0.723000000,-0.350000000,-0.350000000,0.083000000,19.400000
18,3.600000,2.013000000,1.596000000,-0.725000000,-0.350000000,-0.350000000,0.138000000,19.100000
19,3.800000,1.916000000,1.532000000,-0.725000000,-0.350000000,-0.350000000,0.144000000,20.900000
20,4.000000,1.801000000,1.460000000,-0.718000000,-0.350000000,-0.350000000,0.119000000,20.000000
21,4.200000,1.654000000,1.339000000,-0.689000000,-0.331000000,-0.350000000,0.067000000,19.400000
22,4.400000,1.537000000,1.284000000,-0.682000000,-0.292000000,-0.350000000,0.026000000,19.600000
23,4.600000,1.492000000,1.243000000,-0.682000000,-0.258000000,-0.350000000,0.025000000,21.400000
24,4.800000,1.397000000,1.174000000,-0.662000000,-0.213000000,-0.350000000,0.002000000,19.900000
25,5.000000,1.279000000,1.034000000,-0.642000000,-0.159000000,-0.350000000,0.035000000,20.200000
26,5.200000,1.171000000,0.974000000,-0.638000000,-0.097000000,-0.350000000,0.074000000,20.300000
27,5.400000,1.083000000,0.910000000,-0.632000000,-0.037000000,-0.350000000,0.154000000,19.800000
28,5.600000,1.029000000,0.847000000,-0.629000000,0.001000000,-0.350000000,0.200000000,22.200000
29,5.800000,0.969000000,0.783000000,-0.617000000,0.024000000,-0.350000000,0.200000000,21.800000
30,6.000000,0.903000000,0.735000000,-0.607000000,0.044000000,-0.350000000,0.200000000,21.100000
31,6.200000,0.859000000,0.694000000,-0.576000000,0.066000000,-0.350000000,0.200000000,18.900000
32,6.400000,0.837000000,0.656000000,-0.545000000,0.087000000,-0.350000000,0.200000000,19.200000
33,6.600000,0.796000000,0.621000000,-0.527000000,0.107000000,-0.350000000,0.200000000,19.400000
34,6.800000,0.765000000,0.587000000,-0.506000000,0.124000000,-0.350000000,0.200000000,19.200000
35,7.000000,0.739000000,0.562000000,-0.481000000,0.143000000,-0.350000000,0.200000000,19.000000
36,7.200000,0.722000000,0.548000000,-0.460000000,0.161000000,-0.350000000,0.200000000,19.100000
37,7.400000,0.712000000,0.515000000,-0.434000000,0.174000000,-0.345000000,0.200000000,19.200000
38,7.600000,0.706000000,0.497000000,-0.411000000,0.184000000,-0.341000000,0.181000000,19.300000
39,7.800000,0.705000000,0.484000000,-0.394000000,0.189000000,-0.333000000,0.141000000,18.900000
40,8.000000,0.709000000,0.474000000,-0.366000000,0.190000000,-0.325000000,0.078000000,19.000000
41,8.200000,0.729000000,0.463000000,-0.341000000,0.186000000,-0.316000000,0.028000000,18.400000
42,8.400000,0.746000000,0.455000000,-0.333000000,0.178000000,-0.306000000,0.005000000,19.000000
43,8.600000,0.771000000,0.449000000,-0.325000000,0.167000000,-0.296000000,-0.010000000,18.400000
44,8.800000,0.798000000,0.439000000,-0.321000000,0.153000000,-0.284000000,-0.013000000,18.400000
45,9.000000,0.827000000,0.438000000,-0.321000000,0.138000000,-0.276000000,-0.011000000,18.700000
46,9.200000,0.850000000,0.428000000,-0.339000000,0.122000000,-0.264000000,0.023000000,18.500000
47,9.400000,0.866000000,0.423000000,-0.359000000,0.107000000,-0.253000000,0.064000000,18.700000
48,9.600000,0.891000000,0.397000000,-0.354000000,0.091000000,-0.237000000,0.096000000,18.600000
49,9.800000,0.903000000,0.384000000,-0.349000000,0.078000000,-0.224000000,0.113000000,18.400000
50,10.000000,0.923000000,0.370000000,-0.343000000,0.066000000,-0.213000000,0.126000000,18.400000
51,10.200000,0.933000000,0.357000000,-0.334000000,0.056000000,-0.203000000,0.133000000,18.100000
52,10.400000,0.942000000,0.348000000,-0.326000000,0.048000000,-0.195000000,0.133000000,18.200000
53,10.600000,0.943000000,0.337000000,-0.307000000,0.043000000,-0.189000000,0.118000000,18.400000
54,10.800000,0.943000000,0.324000000,-0.290000000,0.039000000,-0.183000000,0.105000000,18.600000
55,11.000000,0.945000000,0.310000000,-0.282000000,0.036000000,-0.176000000,0.104000000,18.100000
56,11.200000,0.939000000,0.294000000,-0.272000000,0.035000000,-0.168000000,0.103000000,17.700000
57,11.400000,0.937000000,0.284000000,-0.260000000,0.034000000,-0.162000000,0.097000000,18.600000
58,11.600000,0.937000000,0.274000000,-0.245000000,0.034000000,-0.157000000,0.084000000,18.400000
59,11.800000,0.935000000,0.256000000,-0.230000000,0.034000000,-0.149000000,0.080000000,17.900000
60,12.000000,0.933000000,0.241000000,-0.226000000,0.034000000,-0.141000000,0.086000000,18.100000
61,12.200000,0.928000000,0.241000000,-0.226000000,0.035000000,-0.136000000,0.086000000,18.200000
62,12.400000,0.931000000,0.232000000,-0.206000000,0.035000000,-0.132000000,0.070000000,18.100000
63,12.600000,0.942000000,0.219000000,-0.186000000,0.034000000,-0.128000000,0.055000000,19.000000
64,12.800000,0.946000000,0.215000000,-0.185000000,0.032000000,-0.124000000,0.052000000,19.500000
65,13.000000,0.956000000,0.214000000,-0.190000000,0.029000000,-0.120000000,0.058000000,18.000000
66,13.200000,0.967000000,0.211000000,-0.178000000,0.026000000,-0.118000000,0.049000000,18.200000
67,13.400000,0.975000000,0.210000000,-0.173000000,0.022000000,-0.117000000,0.041000000,18.000000
68,13.600000,0.992000000,0.197000000,-0.156000000,0.017000000,-0.114000000,0.033000000,18.300000
69,13.800000,1.001000000,0.194000000,-0.163000000,0.012000000,-0.110000000,0.041000000,17.800000
70,14.000000,1.006000000,0.188000000,-0.162000000,0.007000000,-0.106000000,0.048000000,18.000000
71,14.200000,1.009000000,0.186000000,-0.155000000,0.004000000,-0.104000000,0.044000000,19.100000
72,14.400000,1.015000000,0.172000000,-0.137000000,0.001000000,-0.101000000,0.035000000,18.600000
73,14.600000,1.013000000,0.166000000,-0.137000000,-0.001000000,-0.096000000,0.037000000,18.000000
74,14.800000,1.010000000,0.156000000,-0.134000000,-0.002000000,-0.091000000,0.042000000,18.700000
75,15.000000,1.003000000,0.162000000,-0.141000000,-0.002000000,-0.089000000,0.044000000,18.300000
76,15.200000,1.001000000,0.159000000,-0.127000000,-0.001000000,-0.089000000,0.030000000,18.200000
77,15.400000,0.998000000,0.143000000,-0.111000000,-0.000000000,-0.086000000,0.022000000,19.800000
78,15.600000,0.995000000,0.134000000,-0.111000000,0.001000000,-0.081000000,0.027000000,18.700000
79,15.800000,0.988000000,0.140000000,-0.119000000,0.003000000,-0.079000000,0.031000000,18.300000
80,16.000000,0.982000000,0.145000000,-0.119000000,0.005000000,-0.079000000,0.025000000,18.800000
81,16.200000,0.984000000,0.127000000,-0.095000000,0.006000000,-0.077000000,0.013000000,19.500000
82,16.400000,0.981000000,0.125000000,-0.095000000,0.008000000,-0.074000000,0.011000000,19.200000
83,16.600000,0.980000000,0.111000000,-0.094000000,0.008000000,-0.069000000,0.022000000,19.100000
84,16.800000,0.974000000,0.125000000,-0.109000000,0.010000000,-0.068000000,0.028000000,19.500000
85,17.000000,0.978000000,0.119000000,-0.094000000,0.011000000,-0.067000000,0.018000000,18.600000
86,17.200000,0.987000000,0.116000000,-0.086000000,0.010000000,-0.067000000,0.009000000,19.200000
87,17.400000,0.994000000,0.116000000,-0.088000000,0.008000000,-0.066000000,0.008000000,18.400000
88,17.600000,1.004000000,0.109000000,-0.095000000,0.005000000,-0.062000000,0.024000000,18.300000
89,17.800000,1.011000000,0.117000000,-0.096000000,0.002000000,-0.063000000,0.022000000,19.200000
90,18.000000,1.016000000,0.116000000,-0.091000000,-0.001000000,-0.063000000,0.018000000,19.000000
91,18.200000,1.026000000,0.109000000,-0.078000000,-0.005000000,-0.063000000,0.007000000,19.300000
92,18.400000,1.022000000,0.099000000,-0.083000000,-0.007000000,-0.059000000,0.019000000,19.100000
93,18.600000,1.018000000,0.102000000,-0.090000000,-0.007000000,-0.057000000,0.027000000,18.600000
94,18.800000,1.012000000,0.108000000,-0.083000000,-0.007000000,-0.058000000,0.015000000,19.000000
95,19.000000,1.011000000,0.104000000,-0.078000000,-0.006000000,-0.058000000,0.008000000,19.400000
96,19.200000,1.007000000,0.104000000,-0.080000000,-0.005000000,-0.058000000,0.009000000,19.200000
97,19.400000,1.006000000,0.091000000,-0.080000000,-0.004000000,-0.054000000,0.023000000,19.000000
98,19.600000,0.996000000,0.094000000,-0.083000000,-0.002000000,-0.052000000,0.027000000,18.900000
99,19.800000,0.996000000,0.089000000,-0.066000000,-0.001000000,-0.052000000,0.012000000,19.100000
100,20.000000,0.995000000,0.080000000,-0.054000000,0.000000000,-0.050000000,0.001000000,18.600000
101,20.200000,0.991000000,0.086000000,-0.065000000,0.002000000,-0.049000000,0.004000000,18.900000
102,20.400000,0.990000000,0.076000000,-0.069000000,0.003000000,-0.045000000,0.020000000,18.300000
103,20.600000,0.982000000,0.096000000,-0.076000000,0.005000000,-0.048000000,0.012000000,19.400000
104,20.800000,0.988000000,0.076000000,-0.052000000,0.006000000,-0.047000000,0.001000000,19.200000
105,21.000000,0.987000000,0.076000000,-0.050000000,0.006000000,-0.046000000,-0.005000000,19.500000
106,21.200000,0.987000000,0.049000000,-0.037000000,0.006000000,-0.039000000,0.004000000,19.400000
107,21.400000,0.994000000,0.054000000,-0.045000000,0.005000000,-0.035000000,0.011000000,19.300000
108,21.600000,0.999000000,0.093000000,-0.084000000,0.004000000,-0.040000000,0.020000000,18.500000
109,21.800000,1.014000000,0.077000000,-0.062000000,0.000000000,-0.041000000,0.015000000,19.500000
110,22.000000,1.021000000,0.068000000,-0.065000000,-0.003000000,-0.038000000,0.027000000,19.500000
111,22.200000,1.028000000,0.076000000,-0.079000000,-0.007000000,-0.037000000,0.040000000,18.100000
