iteration,solve_time_s,cost,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,max_step,status
0,0.058770,4.459310,0.401223,0.984406,-0.907201,2.537261,-0.993697,3.900199,0.100000,optimal
1,0.010200,4.208596,0.302388,0.969190,-0.814011,2.573533,-0.980026,3.801138,0.100000,optimal
2,0.009803,4.025277,0.259875,0.878695,-0.718160,2.602036,-0.955266,3.704252,0.100000,optimal
3,0.009866,3.919077,0.265723,0.847232,-0.654596,2.524838,-0.920952,3.610323,0.100000,optimal
4,0.009455,3.812043,0.266295,0.844512,-0.585152,2.452883,-0.877428,3.520292,0.100000,optimal
5,0.009474,3.707095,0.265321,0.849178,-0.513400,2.383229,-0.825130,3.435057,0.100000,optimal
6,0.009534,3.609949,0.260230,0.876550,-0.486726,2.343645,-0.764581,3.355472,0.100000,optimal
7,0.009595,3.522328,0.260574,0.874501,-0.486193,2.345369,-0.696386,3.282332,0.100000,optimal
8,0.009532,3.443471,0.261206,0.870837,-0.486500,2.348774,-0.621227,3.216369,0.100000,optimal
9,0.009575,3.376699,0.261422,0.869606,-0.486599,2.349911,-0.539855,3.158242,0.100000,optimal
10,0.009942,3.325961,0.260681,0.873873,-0.486249,2.345957,-0.453086,3.108533,0.100000,optimal
11,0.009389,3.294944,0.258642,0.886476,-0.485229,2.334172,-0.361785,3.067738,0.100000,optimal
12,0.009435,3.285712,0.255878,0.906287,-0.483581,2.315259,-0.275884,3.038809,0.090641,optimal
13,0.022920,3.285611,0.255339,0.910670,-0.483072,2.310901,-0.274972,3.038548,0.004416,optimal
